STATION,DATE,MLY-TAVG-NORMAL,Completeness Flag
GHCND:USC00045378,201009,672,S
GHCND:USC00045378,201010,609,S
GHCND:USC00045378,201011,519,S
GHCND:USC00045378,201012,456,S
GHCND:USW00023230,201001,493,R
GHCND:USW00023230,201002,521,R
GHCND:USW00023230,201003,544,R
GHCND:USW00023230,201004,574,R
GHCND:USW00023230,201005,594,R
GHCND:USW00023230,201006,621,R
GHCND:USW00023230,201007,629,R
GHCND:USW00023230,201008,641,R
GHCND:USW00023230,201009,645,R
GHCND:USW00023230,201010,605,R
GHCND:USW00023230,201011,542,R
GHCND:USW00023230,201012,490,R
GHCND:USC00046646,201001,485,S
GHCND:USC00046646,201002,511,R
GHCND:USC00046646,201003,544,R
GHCND:USC00046646,201004,572,S
GHCND:USC00046646,201005,615,S
GHCND:USC00046646,201006,654,R
GHCND:USC00046646,201007,674,R
GHCND:USC00046646,201008,671,R
GHCND:USC00046646,201009,660,R
GHCND:USC00046646,201010,611,R
GHCND:USC00046646,201011,536,R
GHCND:USC00046646,201012,482,R
GHCND:USW00023254,201001,478,R
GHCND:USW00023254,201002,519,R
GHCND:USW00023254,201003,554,R
GHCND:USW00023254,201004,586,R
GHCND:USW00023254,201005,640,R
GHCND:USW00023254,201006,693,R
GHCND:USW00023254,201007,723,R
GHCND:USW00023254,201008,724,R
GHCND:USW00023254,201009,701,R
GHCND:USW00023254,201010,639,R
GHCND:USW00023254,201011,540,R
GHCND:USW00023254,201012,477,R
GHCND:USC00045915,201001,478,S
GHCND:USC00045915,201002,485,S
GHCND:USC00045915,201003,508,S
GHCND:USC00045915,201004,540,S
GHCND:USC00045915,201005,597,S
GHCND:USC00045915,201006,659,S
GHCND:USC00045915,201007,725,R
GHCND:USC00045915,201008,722,R
GHCND:USC00045915,201009,698,R
GHCND:USC00045915,201010,626,S
GHCND:USC00045915,201011,531,S
GHCND:USC00045915,201012,475,S
GHCND:USC00046144,201001,499,S
GHCND:USC00046144,201002,532,S
GHCND:USC00046144,201003,561,S
GHCND:USC00046144,201004,587,S
GHCND:USC00046144,201005,620,S
GHCND:USC00046144,201006,655,S
GHCND:USC00046144,201007,675,S
GHCND:USC00046144,201008,679,S
GHCND:USC00046144,201009,673,S
GHCND:USC00046144,201010,632,S
GHCND:USC00046144,201011,560,S
GHCND:USC00046144,201012,501,S
GHCND:USC00046336,201001,512,S
GHCND:USC00046336,201002,542,S
GHCND:USC00046336,201003,562,S
GHCND:USC00046336,201004,582,S
GHCND:USC00046336,201005,607,S
GHCND:USC00046336,201006,632,R
GHCND:USC00046336,201007,641,S
GHCND:USC00046336,201008,653,S
GHCND:USC00046336,201009,656,S
GHCND:USC00046336,201010,630,S
GHCND:USC00046336,201011,569,S
GHCND:USC00046336,201012,515,S
GHCND:USW00023239,201001,523,R
GHCND:USW00023239,201002,553,R
GHCND:USW00023239,201003,577,R
GHCND:USW00023239,201004,597,R
GHCND:USW00023239,201005,618,R
GHCND:USW00023239,201006,639,R
GHCND:USW00023239,201007,647,R
GHCND:USW00023239,201008,657,R
GHCND:USW00023239,201009,666,R
GHCND:USW00023239,201010,645,R
GHCND:USW00023239,201011,587,R
GHCND:USW00023239,201012,529,R
GHCND:USC00040693,201001,502,R
GHCND:USC00040693,201002,529,R
GHCND:USC00040693,201003,550,R
GHCND:USC00040693,201004,566,S
GHCND:USC00040693,201005,596,S
GHCND:USC00040693,201006,624,R
GHCND:USC00040693,201007,634,R
GHCND:USC00040693,201008,641,R
GHCND:USC00040693,201009,641,R
GHCND:USC00040693,201010,620,R
GHCND:USC00040693,201011,557,R
GHCND:USC00040693,201012,506,R
GHCND:USC00044500,201001,481,S
GHCND:USC00044500,201002,515,S
GHCND:USC00044500,201003,543,S
GHCND:USC00044500,201004,572,S
GHCND:USC00044500,201005,613,S
GHCND:USC00044500,201006,655,S
GHCND:USC00044500,201007,679,S
GHCND:USC00044500,201008,677,R
GHCND:USC00044500,201009,667,S
GHCND:USC00044500,201010,619,R
GHCND:USC00044500,201011,538,S
GHCND:USC00044500,201012,481,S
GHCND:USW00023234,201001,503,C
GHCND:USW00023234,201002,529,C
GHCND:USW00023234,201003,549,S
GHCND:USW00023234,201004,569,S
GHCND:USW00023234,201005,596,S
GHCND:USW00023234,201006,622,S
GHCND:USW00023234,201007,637,S
GHCND:USW00023234,201008,645,S
GHCND:USW00023234,201009,647,S
GHCND:USW00023234,201010,618,S
GHCND:USW00023234,201011,558,S
GHCND:USW00023234,201012,506,S
GHCND:USC00047414,201001,502,S
GHCND:USC00047414,201002,532,S
GHCND:USC00047414,201003,557,S
GHCND:USC00047414,201004,578,S
GHCND:USC00047414,201005,604,R
GHCND:USC00047414,201006,631,S
GHCND:USC00047414,201007,632,R
GHCND:USC00047414,201008,640,R
GHCND:USC00047414,201009,651,S
GHCND:USC00047414,201010,627,S
GHCND:USC00047414,201011,561,R
GHCND:USC00047414,201012,507,R
GHCND:USC00041967,201001,489,R
GHCND:USC00041967,201002,530,R
GHCND:USC00041967,201003,565,R
GHCND:USC00041967,201004,602,R
GHCND:USC00041967,201005,651,R
GHCND:USC00041967,201006,699,R
GHCND:USC00041967,201007,730,R
GHCND:USC00041967,201008,729,R
GHCND:USC00041967,201009,711,R
GHCND:USC00041967,201010,648,R
GHCND:USC00041967,201011,555,R
GHCND:USC00041967,201012,488,R
GHCND:USC00047880,201001,479,R
GHCND:USC00047880,201002,513,R
GHCND:USC00047880,201003,541,R
GHCND:USC00047880,201004,569,R
GHCND:USC00047880,201005,604,S
GHCND:USC00047880,201006,646,S
GHCND:USC00047880,201007,672,S
GHCND:USC00047880,201008,674,S
GHCND:USC00047880,201009,665,S
GHCND:USC00047880,201010,619,R
GHCND:USC00047880,201011,542,S
GHCND:USC00047880,201012,481,S
